state,company,lcas
Mississippi,The Univeristy Of Southern Missisippi,23
Idaho,Micron Technology,146
Idaho,Ibm,53
Idaho,Boise State University,34
Idaho,Tata Consultancy Services,28
Idaho,University Of Idaho,20
Hawaii,University Of Hawaii,87
Hawaii,Research Of The University Of Hawaii,49
Hawaii,Tata Consultancy Services,26
Hawaii,Assoc. Of Universities For Research In Astronomy /,15
Hawaii,Hawaii Medical Service Association,15
West Virginia,West Virginia University,102
West Virginia,Digiblitz Technologies,65
West Virginia,Marshall University,35
West Virginia,Mylan Pharmaceuticals,15
West Virginia,Appalachian Regional Healthcare,10
North Dakota,North Dakota State University,45
North Dakota,Sanford Clinic North,28
North Dakota,Microsoft,25
North Dakota,Sanford Bismarck,21
North Dakota,Noridian Mutual Insurance Company,21
Vermont,The University Of Vermont,29
Vermont,Ibm,28
Vermont,The President And Fellows Of Middlebury College,15
Vermont,Ntt Data,11
Vermont,Resource Systems Group,7
South Dakota,Tata Consultancy Services,35
South Dakota,South Dakota State University,32
South Dakota,Avera Mckennan,14
South Dakota,University Of South Dakota,13
South Dakota,Sioux Falls School District 49-5,13
Alaska,Infosys,51
Alaska,University Of Alaska,33
Alaska,Bp America,11
Alaska,Schlumberger Technology,8
Alaska,Deloitte Consulting,7
Montana,Montana State University,20
Montana,The University Of Montana,18
Montana,Oracle America,12
Montana,Billings Clinic,6
Montana,Cogent Healthcare Of Iowa,5
Wyoming,University Of Wyoming,39
Wyoming,Mmg Management Consulting,6
Wyoming,Rocky Mountain Oncology Center,5
Wyoming,Halliburton Energy Services,4
Wyoming,Schlumberger Technology,4
